id,position,controlLabel,thirdPartyBarcode,sampleId,qc_pass,qc_score
4002423401,A1,,,"",pass,0.9873
4002423402,A2,,,"",pass,0.8611
4002423403,A3,,,"",pass,0.792
4002423404,A4,,,"",pass,0.8864
4002423405,A5,,,"",pass,0.9537
4002423406,A6,,,"",pass,0.9942
4002423407,A7,,,"",pass,0.5933
4002423408,A8,,,"",pass,0.4772
4002423409,A9,,,"",pass,0.7415
4002423410,A10,,,"",fail,-0.7385
4002423411,A11,,,"",pass,0.8358
4002423412,A12,,,"",pass,0.5428
4002423413,B1,,,"",pass,0.856
4002423414,B2,,,"",pass,0.8359
4002423415,B3,,,"",pass,0.9747
4002423416,B4,,,"",pass,0.9369
4002423417,B5,,,"",pass,0.6843
4002423418,B6,,,"",pass,0.9369
4002423419,B7,,,"",pass,0.7786
4002423420,B8,,,"",pass,0.9049
4002423421,B9,,,"",pass,0.6157
4002423422,B10,,,"",pass,0.7449
4002423423,B11,,,"",pass,0.2128
4002423424,B12,,,"",pass,0.9598
4002423425,C1,,,"",pass,0.7285
4002423426,C2,,,"",fail,-6.5725
4002423427,C3,,,"",pass,0.9116
4002423428,C4,,,"",pass,0.7264
4002423429,C5,,,"",pass,0.9486
4002423430,C6,,,"",pass,0.8376
4002423431,C7,,,"",pass,0.9874
4002423432,C8,,,"",pass,0.7146
4002423433,C9,,,"",pass,0.8679
4002423434,C10,,,"",pass,0.9032
4002423435,C11,,,"",pass,0.8106
4002423436,C12,,,"",pass,0.6792
4002423437,D1,,,"",pass,0.3526
4002423438,D2,,,"",pass,0.8043
4002423439,D3,,,"",pass,0.5581
4002423440,D4,,,"",fail,-0.0123
4002423441,D5,,,"",pass,0.4469
4002423442,D6,,,"",pass,0.5917
4002423443,D7,,,"",pass,0.5008
4002423444,D8,,,"",pass,0.7601
4002423445,D9,,,"",pass,0.4739
4002423446,D10,,,"",pass,0.8906
4002423447,D11,,,"",pass,0.398
4002423448,D12,,,"",pass,0.6473
4002423449,E1,,,"",pass,0.8084
4002423450,E2,,,"",pass,0.8964
4002423451,E3,,,"",pass,0.9516
4002423452,E4,,,"",pass,0.9184
4002423453,E5,,,"",pass,0.8653
4002423454,E6,,,"",pass,0.6911
4002423455,E7,,,"",pass,0.9943
4002423456,E8,,,"",pass,0.9958
4002423457,E9,,,"",pass,0.7618
4002423458,E10,,,"",pass,0.7706
4002423459,E11,,,"",pass,0.7958
4002423460,E12,,,"",pass,0.6906
4002423461,F1,,,"",pass,0.9453
4002423462,F2,,,"",pass,0.6654
4002423463,F3,,,"",pass,0.8758
4002423464,F4,,,"",pass,0.8611
4002423465,F5,,,"",pass,0.6253
4002423466,F6,,,"",pass,0.5563
4002423467,F7,,,"",pass,0.9706
4002423468,F8,,,"",pass,0.9032
4002423469,F9,,,"",pass,0.8779
4002423470,F10,,,"",pass,0.9083
4002423471,F11,,,"",pass,0.9139
4002423472,F12,,,"",fail,-6.6061
4002423473,G1,,,"",pass,0.92
4002423474,G2,,,"",pass,0.9925
4002423475,G3,,,"",pass,0.939
4002423476,G4,,,"",pass,0.8653
4002423477,G5,,,"",pass,0.7601
4002423478,G6,,,"",pass,0.8644
4002423479,G7,,,"",pass,0.8464
4002423480,G8,,,"",pass,0.9622
4002423481,G9,,,"",pass,0.9201
4002423482,G10,,,"",pass,0.6995
4002423483,G11,,,"",pass,0.8526
4002423484,G12,,,"",fail,-2.8304
4002423485,H1,,,"",pass,0.9031
4002423486,H2,,,"",pass,0.9452
4002423487,H3,,,"",pass,0.6338
4002423488,H4,,,"",fail,1.0
4002423489,H5,,,"",pass,0.8257
4002423490,H6,,,"",pass,0.92
4002423491,H7,,,"",pass,0.8505
4002423492,H8,,,"",pass,0.7937
4002423493,H9,,,"",pass,0.9436
4002423494,H10,,,"",pass,0.8169
4002423495,H11,,,"",pass,0.9217
4002423496,H12,,,"",fail,-6.8692
